Component1_fr_methoxy,Component1_MolLogP,Component2_Kappa3,Component2_FpDensityMorgan3,Component1_EState_VSA6,Component2_SMR_VSA1,Component1_PEOE_VSA8,Component1_Hfus,Component1_Tm,Component1_Chi0v,Component1_Kappa1,Component2_qed,Component1_BCUT2D_MWLOW,Component1_FpDensityMorgan1,Component2_Hfus,Component2_Tm
0,2.4395,1.775658963,2.666666667,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.734229612,9.754711402,1.272727273,24860.0,424.15
0,4.7721,15.47,1.333333333,0.0,9.901064579,6.420821623,45750.0,327.0,10.84074326,15.47,0.413489783,10.05379892,0.75,51020.0,336.8
0,6.2402,5.43,1.875,0.0,14.38409544,6.606881965,65350.0,332.9,13.46802888,18.96,0.410408618,10.03868695,0.421052632,17980.0,566.0
0,6.1085,9.47,2.0,0.0,9.901064579,6.420821623,42990.0,289.4,13.40965736,19.21,0.57068315,10.07806935,0.75,27500.0,304.8
0,5.5523,3.387630632,2.133333333,0.0,9.901064579,6.420821623,51020.0,336.8,12.25495682,17.47,0.821599549,10.04473192,0.666666667,39500.0,350.4
0,5.5523,17.47,1.2,0.0,9.901064579,6.420821623,51020.0,336.8,12.25495682,17.47,0.336041979,10.04473192,0.666666667,61360.0,343.67
0,2.8216,11.47,1.714285714,0.0,9.901064579,6.420821623,19820.0,285.75,7.305209354,10.47,0.541252579,10.10370292,1.090909091,34690.0,317.5
0,1.0904,5.43,1.875,12.13273414,14.38409544,0.0,26100.0,431.0,5.112076558,6.60778563,0.410408618,10.18750536,1.3,17980.0,566.0
0,-3.5854,5.43,1.875,0.0,14.38409544,0.0,30200.0,369.6,6.406896212,11.76,0.410408618,10.04229365,0.666666667,17980.0,566.0
0,6.3325,5.43,1.875,0.0,14.38409544,6.420821623,61360.0,344.04,13.66917038,19.47,0.410408618,10.03832299,0.6,17980.0,566.0
0,2.82402,5.43,1.875,6.066367068,14.38409544,0.0,19650.0,323.5,7.256614672,8.119800399,0.410408618,10.00823837,1.272727273,17980.0,566.0
0,-0.9762,5.43,1.875,0.0,14.38409544,0.0,14600.0,405.85,2.062948829,3.27,0.410408618,11.19589811,1.5,17980.0,566.0
0,6.0629,4.129465428,1.0,0.0,62.03868747,0.0,22600.0,365.0,20.72997831,33.57238188,0.437005279,10.12017544,0.5625,14300.0,508.0
0,7.2332,4.129465428,1.0,0.0,62.03868747,0.0,25600.0,335.0,22.85129865,36.55622619,0.437005279,10.04346574,0.542857143,14300.0,508.0
0,1.7718,4.129465428,1.0,0.0,62.03868747,0.0,11300.0,383.0,12.95180371,22.6776465,0.437005279,10.5744786,0.80952381,14300.0,508.0
0,-0.6199,298.8887898,1.4,0.0,23.94722225,0.0,9862.0,481.0,6.738186518,8.928758967,0.170424257,,1.4,24860.0,524.0
0,0.3234,5.704344619,1.5,0.0,19.06280028,6.420821623,9564.601,229.43,3.437816924,3.652815356,0.580732128,10.38048205,1.666666667,51320.0,251.63
0,0.3234,-104.04,1.0,0.0,5.476191836,6.420821623,9564.601,229.43,3.437816924,3.652815356,0.327747677,10.38048205,1.666666667,5996.1,273.05
2,0.3992,0.428612059,2.0,0.0,14.26826309,0.0,11580.0,278.2,3.724744871,5.27,0.395310502,11.29924708,1.333333333,13020.0,311.2
1,0.7893,0.428612059,2.0,6.9237372,14.26826309,0.0,11240.0,219.4,4.431851653,6.27,0.395310502,10.87421423,1.714285714,13020.0,311.2
0,1.1794,0.428612059,2.0,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.395310502,10.84726048,1.25,13020.0,311.2
0,0.5417,0.428612059,2.0,6.9237372,14.26826309,0.0,8960.0,220.3,4.009201922,4.429489633,0.395310502,10.45762829,1.857142857,13020.0,311.2
0,0.5417,1.575810398,1.666666667,6.9237372,14.26826309,0.0,8960.0,220.3,4.009201922,4.429489633,0.403686926,10.45762829,1.857142857,11580.0,278.2
0,0.5417,3.090653873,2.428571429,6.9237372,14.26826309,0.0,8960.0,220.3,4.009201922,4.429489633,0.461163923,10.45762829,1.857142857,13020.0,311.2
0,1.1794,0.823939078,2.714285714,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.418614149,10.84726048,1.25,8960.0,220.3
2,0.3992,3.090653873,2.428571429,0.0,14.26826309,0.0,11580.0,278.2,3.724744871,5.27,0.461163923,11.29924708,1.333333333,13020.0,311.2
0,1.1794,1.575810398,1.666666667,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.403686926,10.84726048,1.25,11580.0,278.2
0,1.1794,3.090653873,2.428571429,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.461163923,10.84726048,1.25,11240.0,219.4
0,-0.2477,4.129465428,1.0,7.047671983,62.03868747,13.97140918,10110.0,303.43,3.40824829,4.47,0.437005279,10.73311443,1.8,14300.0,508.0
0,-0.8247,298.8887898,1.4,0.0,23.94722225,0.0,5996.1,273.05,0.5,0.96,0.170424257,15.999,1.0,24860.0,524.0
0,-0.9762,4.129465428,1.0,0.0,62.03868747,0.0,14790.0,406.5,2.062948829,3.27,0.437005279,11.19589811,1.5,14300.0,508.0
0,-0.2477,298.8887898,1.4,7.047671983,23.94722225,13.97140918,10110.0,303.43,3.40824829,4.47,0.170424257,10.73311443,1.8,24860.0,524.0
2,0.2792,298.8887898,1.4,14.21959508,23.94722225,14.21959508,11367.0,215.0,4.230710143,5.92,0.170424257,10.78416581,1.0,24860.0,524.0
0,-0.0053,298.8887898,1.4,12.51153837,23.94722225,23.31110741,13500.0,291.0,3.632993162,4.15,0.170424257,11.91219609,1.5,24860.0,524.0
0,0.3234,298.8887898,1.4,0.0,23.94722225,6.420821623,9564.601,229.43,3.437816924,3.652815356,0.170424257,10.38048205,1.666666667,24860.0,524.0
0,0.2386,298.8887898,1.4,4.899909731,23.94722225,20.01325001,7327.5,249.41,4.47678223,4.624559505,0.170424257,10.38011002,1.714285714,24860.0,524.0
0,0.195,298.8887898,1.4,0.0,23.94722225,0.0,6898.9,287.96,4.869668577,5.093884892,0.170424257,10.39358405,1.0,24860.0,524.0
0,1.0337,298.8887898,1.4,0.0,23.94722225,21.32939262,12342.0,226.87,5.974633948,8.11,0.170424257,11.76680851,1.0,24860.0,524.0
2,0.3124,298.8887898,1.4,14.21959508,23.94722225,14.21959508,20911.7,229.06,7.875633849,11.84,0.170424257,10.67966781,0.583333333,24860.0,524.0
