Component2_Kappa3,Component2_NHOHCount,Component1_PEOE_VSA8,Component2_VSA_EState1,Component1_SMR_VSA6,Component1_TPSA,Component1_Hfus,Component1_Tm,Component2_LabuteASA,Component1_PEOE_VSA14,Component1_BCUT2D_CHGHI,Component1_BCUT2D_LOGPLOW,Component2_EState_VSA4,Component1_MinEStateIndex,Component2_Hfus,Component2_Tm
3.018891864,0,12.84164325,1.277777778,0.0,74.6,37400.0,426.2,75.7763531,11.93861058,1.985088859,-1.969187406,0.0,-0.870010393,13900.0,633.0
3.018891864,0,12.84164325,1.277777778,0.0,74.6,26100.0,378.5,75.7763531,11.93861058,1.981785893,-1.959512763,0.0,-0.819143519,13900.0,633.0
6.023775848,0,12.84164325,1.375,0.0,74.6,37400.0,426.2,101.2361216,11.93861058,1.985088859,-1.969187406,0.0,-0.870010393,7300.0,583.0
6.023775848,0,12.84164325,1.375,0.0,74.6,26100.0,378.5,101.2361216,11.93861058,1.981785893,-1.959512763,0.0,-0.819143519,7300.0,583.0
12.93215822,0,0.0,1.444444444,0.0,74.6,34000.0,455.2,152.1556585,11.93861058,1.998283859,-2.002385746,0.0,-1.076481481,40100.0,375.9
12.93215822,0,12.84164325,1.444444444,0.0,74.6,26100.0,378.5,152.1556585,11.93861058,1.981785893,-1.959512763,0.0,-0.819143519,40100.0,375.9
6.023775848,0,0.0,1.375,13.21376393,80.92,39300.0,394.7,101.2361216,0.0,2.116840878,-2.314989528,0.0,-1.222222222,7300.0,583.0
12.93215822,0,0.0,1.444444444,13.21376393,80.92,39300.0,394.7,152.1556585,0.0,2.116840878,-2.314989528,0.0,-1.222222222,40100.0,375.9
9.216011279,0,6.420821623,1.42,0.0,37.3,45750.0,327.0,122.3362812,5.969305288,1.960598042,-1.929394031,0.0,-0.656551714,19430.0,342.82
9.216011279,0,6.420821623,1.42,0.0,37.3,51020.0,336.8,122.3362812,5.969305288,1.963312707,-1.929455998,0.0,-0.654562036,19430.0,342.82
9.216011279,0,6.420821623,1.42,0.0,37.3,61360.0,344.04,122.3362812,5.969305288,1.965533262,-1.929476882,0.0,-0.653061016,19430.0,342.82
9.216011279,0,6.606881965,1.42,6.606881965,20.23,45810.0,311.7,122.3362812,0.0,1.919656717,-1.842070181,0.0,0.37244898,19430.0,342.82
9.216011279,0,6.606881965,1.42,6.606881965,20.23,60960.0,324.4,122.3362812,0.0,1.929004255,-1.844746358,0.0,0.373046875,19430.0,342.82
9.216011279,0,6.606881965,1.42,6.606881965,20.23,65350.0,332.9,122.3362812,0.0,1.936202182,-1.846639558,0.0,0.37345679,19430.0,342.82
718.25,0,6.606881965,1.0,6.606881965,20.23,45810.0,311.7,45.95697578,0.0,1.919656717,-1.842070181,4.483030858,0.37244898,20490.0,612.87
718.25,0,6.606881965,1.0,6.606881965,20.23,60960.0,324.4,45.95697578,0.0,1.929004255,-1.844746358,4.483030858,0.373046875,20490.0,612.87
718.25,0,6.606881965,1.0,6.606881965,20.23,65350.0,332.9,45.95697578,0.0,1.936202182,-1.846639558,4.483030858,0.37345679,20490.0,612.87
9.510489164,1,11.45259128,0.84375,0.0,30.21,18630.0,342.3,57.11615165,5.625586319,1.915625037,-1.928547831,11.02778726,-0.30212963,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,20.23,17570.0,324.65,57.11615165,0.0,2.033939892,-1.87272444,11.02778726,0.398703704,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,20.23,17570.0,324.65,57.11615165,0.0,2.033939892,-1.87272444,11.02778726,0.398703704,4300.0,597.0
9.510489164,1,12.39368714,0.84375,0.0,28.68,13100.0,359.3,57.11615165,0.0,1.558477976,-1.435913333,11.02778726,1.625,4300.0,597.0
9.380686502,0,12.39368714,1.42,0.0,28.68,13100.0,359.3,126.69589,0.0,1.558477976,-1.435913333,0.0,1.625,10000.0,390.8
9.216011279,0,12.84164325,1.42,0.0,47.58,3700.0,327.65,122.3362812,0.0,1.723546374,-1.581963576,0.0,0.357638889,19430.0,342.82
56.25,3,0.0,0.0,0.0,43.09,27610.0,351.42,32.59717709,12.08347825,2.350445327,-2.298878852,6.544756406,-4.861111111,5500.0,381.15
56.25,3,6.9237372,0.0,0.0,43.09,15500.0,354.15,32.59717709,0.0,1.611286313,-2.013690032,6.544756406,-0.333333333,5500.0,381.15
9.510489164,1,6.9237372,0.84375,0.0,63.6,29800.0,414.0,57.11615165,11.93861058,2.104306981,-2.063000062,11.02778726,-1.114027778,4300.0,578.15
